City,Country,AccentCity,Region, Population ,Latitude,Longitude
sao joao de meriti,br,S„o Jo„o de Meriti,21," 454,855 ",-22.798614,-43.360894
jining,cn,Jining,25," 450,327 ",35.405,116.581389
constantine,dz,Constantine,4," 450,126 ",36.365,6.6147222
chengde,cn,Chengde,10," 449,325 ",40.770278,118.169722
xuchang,cn,Xuchang,9," 449,258 ",34.016667,113.816667
sheffield,gb,Sheffield,L9," 447,048 ",53.366667,-1.5
pereira,co,Pereira,24," 440,123 ",4.813333,-75.696111
baoji,cn,Baoji,26," 438,295 ",34.365907,107.359045
garoua,cm,Garoua,13," 436,932 ",9.3,13.4
kousseri,cm,KoussÈri,12," 435,986 ",12.0783333,15.0308333
edinburgh,gb,Edinburgh,U8," 435,794 ",55.95,-3.2
ananindeua,br,Ananindeua,16," 433,956 ",-1.366667,-48.383333
santa marta,co,Santa Marta,38," 431,788 ",11.240791,-74.19904
el mahalla el kubra,eg,El Mahalla el Kubra,5," 431,088 ",30.9761111,31.1669444
bristol,gb,Bristol,B7," 430,714 ",51.45,-2.583333
luqiao,cn,Luqiao,2," 427,890 ",28.580835,121.377148
chaozhou,cn,Chaozhou,30," 424,787 ",23.665129,116.637864
likasi,cd,Likasi,5," 422,726 ",-10.981389,26.733333
luxor,eg,Luxor,23," 422,408 ",25.6833333,32.65
ibague,co,IbaguÈ,28," 421,689 ",4.438889,-75.232222
shaoxing,cn,Shaoxing,2," 421,283 ",30.011019,120.571528
asyut,eg,Asyut,17," 420,614 ",27.1827778,31.1827778
luohe,cn,Luohe,9," 417,356 ",33.571667,114.035278
florianopolis,br,FlorianÛpolis,26," 412,731 ",-27.583333,-48.566667
santos,br,Santos,27," 411,411 ",-23.95,-46.333333
toulouse,fr,Toulouse,B3," 411,145 ",43.599516,1.433188
murcia,es,Murcia,31," 410,364 ",37.987041,-1.130042
chaoyang,cn,Chaoyang,19," 410,005 ",41.570278,120.458611
kitchener,ca,Kitchener,8," 409,111 ",43.45,-80.5
shiyan,cn,Shiyan,12," 408,055 ",32.6475,110.778056
santiago del estero,ar,Santiago del Estero,22," 407,636 ",-27.795112,-64.261489
resistencia,ar,Resistencia,3," 406,967 ",-27.46056,-58.983886
ribeirao das neves,br,Ribeir„o das Neves,15," 406,840 ",-19.783333,-44.1
tanta,eg,Tanta,5," 404,934 ",30.7911111,30.9980556
jixi,cn,Jixi,8," 403,759 ",45.3,130.966667
yangjiang,cn,Yangjiang,30," 399,735 ",21.85,111.966667
manchester,gb,Manchester,I2," 395,516 ",53.5,-2.216667
vila velha,br,Vila Velha,8," 394,937 ",-20.333333,-40.283333
weifang,cn,Weifang,25," 394,732 ",36.71,119.101944
serra,br,Serra,8," 394,160 ",-20.116667,-40.3
tallinn,ee,Tallinn,1," 394,023 ",59.4338889,24.7280556
bamenda,cm,Bamenda,7," 393,871 ",5.9333333,10.1666667
bello,co,Bello,2," 392,945 ",6.337315,-75.557951
xinpu,cn,Xinpu,4," 392,444 ",34.599722,119.159444
qandahar,af,Qandahar,23," 391,230 ",31.613323,65.710126
diadema,br,Diadema,27," 390,641 ",-23.7,-46.616667
corrientes,ar,Corrientes,6," 390,481 ",-27.480596,-58.834099
campos,br,Campos,21," 387,422 ",-21.75,-41.3
bochum,de,Bochum,7," 387,061 ",51.483333,7.216667
maua,br,Mau·,27," 386,077 ",-23.666667,-46.45
abomey-calavi,bj,Abomey-Calavi,5," 385,823 ",6.45,2.35
betim,br,Betim,15," 384,038 ",-19.966667,-44.216667
pasto,co,Pasto,20," 382,242 ",1.213611,-77.281111
caxias do sul,br,Caxias do Sul,23," 381,277 ",-29.1689,-51.1785
dezhou,cn,Dezhou,25," 379,555 ",37.448611,116.2925
palma,es,Palma,7," 378,884 ",39.574337,2.655222
brno,cz,Brno,78," 377,407 ",49.2,16.633333
zhoukou,cn,Zhoukou,9," 377,061 ",33.633333,114.633333
tirana,al,Tirana,50," 374,801 ",41.3275,19.8188889
sao jose do rio preto,br,S„o JosÈ do Rio PrÍto,27," 374,706 ",-20.8,-49.383333
xuanhua,cn,Xuanhua,10," 373,422 ",40.610278,115.044722
pingxiang,cn,Pingxiang,3," 372,123 ",27.616667,113.85
bobo dioulasso,bf,Bobo Dioulasso,51," 370,809 ",11.2,-4.3
olinda,br,Olinda,30," 366,761 ",-8.016667,-34.85
las palmas,es,Las Palmas,53," 365,418 ",28.099727,-15.41343
wuppertal,de,Wuppertal,7," 363,240 ",51.266667,7.183333
zhaoqing,cn,Zhaoqing,30," 361,969 ",23.051157,112.459722
carapicuiba,br,CarapicuÌba,27," 361,120 ",-23.516667,-46.833333
tamale,gh,Tamale,6," 360,644 ",9.4,-0.8333333
neuquen,ar,Neuquen,15," 359,037 ",-38.951606,-68.059102
anqing,cn,Anqing,1," 358,661 ",30.509167,117.050556
manizales,co,Manizales,37," 357,819 ",5.06889,-75.517383
sanmenxia,cn,Sanmenxia,9," 357,767 ",34.774722,111.181389
neiva,co,Neiva,16," 352,859 ",2.927299,-75.281885
anshun,cn,Anshun,18," 351,936 ",26.25,105.933333
tema,gh,Tema,8," 351,556 ",5.6166667,-0.0166667
bilbao,es,Bilbao,59," 349,270 ",43.260919,-2.938764
campina grande,br,Campina Grande,17," 348,943 ",-7.216667,-35.883333
camaguey,cu,Camag¸ey,5," 347,572 ",21.3808333,-77.9169444
london,ca,London,8," 346,774 ",42.983333,-81.25
chifeng,cn,Chifeng,20," 346,654 ",42.268333,118.963611
zurich,ch,Zurich,25," 346,185 ",47.366667,8.55
qitaihe,cn,Qitaihe,8," 345,033 ",45.8,130.85
boma,cd,Boma,8," 344,522 ",-5.85,13.05
soledad,co,Soledad,4," 342,562 ",10.918433,-74.76459
zhongshan,cn,Zhongshan,1," 342,306 ",22.520576,113.382318
piracicaba,br,Piracicaba,27," 342,216 ",-22.716667,-47.633333
nice,fr,Nice,B8," 341,621 ",43.713644,7.25952
aksu,cn,Aksu,13," 340,020 ",41.123056,80.264444
leicester,gb,Leicester,H4," 339,240 ",52.633333,-1.133333
leicester,gb,Leicester,H5," 339,240 ",52.664913,-1.034894
macapa,br,Macap·,3," 338,937 ",0.033333,-51.05
tungi,bd,Tungi,81," 337,620 ",23.89,90.4058333
itaquaquecetuba,br,Itaquaquecetuba,27," 336,686 ",-23.483333,-46.35
san jose,cr,San JosÈ,8," 335,056 ",9.933333,-84.083333
bauru,br,Bauru,27," 335,031 ",-22.316667,-49.066667
tieling,cn,Tieling,19," 333,907 ",42.293056,123.841389
montes claros,br,Montes Claros,15," 332,384 ",-16.716667,-43.866667
plovdiv,bg,Plovdiv,51," 332,088 ",42.15,24.75
cariacica,br,Cariacica,8," 330,681 ",-20.266667,-40.416667
bujumbura,bi,Bujumbura,2," 330,539 ",-3.3761111,29.36
canoas,br,Canoas,23," 328,297 ",-29.933333,-51.183333
